Entity,Total,Land_Use,Fossils
North Macedonia,6944763.312598426,2803402.2654330707,4141361.0630748034
Central African Republic,6843879.42739726,6682269.715068493,161609.72635616438
Bhutan,6532316.002080924,6409320.195722543,122995.81535260116
Uruguay,6479329.862637362,2217960.103186813,4261369.731868132
El Salvador,5998096.876712329,2600464.7781643835,3397632.1232876712
Albania,5975974.464444444,2654997.9115555556,3320976.5457777777
Namibia,5876422.881818182,3380296.481818182,2496126.360606061
Rwanda,5855585.591232877,5408602.575890412,446983.0153424658
Haiti,5226904.424273972,4123384.8156164386,1103519.6175342465
Botswana,5076598.084313726,1883129.3425490195,3193468.7215686277
Belize,4792091.749315068,4510268.000273973,281823.7530136986
Lesotho,4512906.3121212125,2406823.899090909,2106082.3878787877
Burundi,4494375.91630137,4295173.186164383,199202.72616438355
East Timor,4143502.589655172,3768758.824137931,374743.7586206897
Equatorial Guinea,3841399.66,1867204.0090410959,1974195.6575342466
Armenia,3715789.1653892216,1382097.665508982,2333691.5008232337
Tajikistan,3650084.318742515,695657.784251497,2954426.529760479
Cyprus,3568103.035342466,-641528.2515068493,4209631.290410959
Suriname,3527614.7056164383,1819955.4610958903,1707659.2589041097
Iceland,3143825.728235294,1209951.919647059,1933873.811764706
Brunei,2954486.96123526,634235.0105994219,2320251.951445087
Eritrea,2776926.910810811,2278461.3637837837,498465.54054054053
Guinea-Bissau,2770743.3520547943,2623039.037945206,147704.31506849316
Eswatini,2576026.361690141,1965734.9845070424,610291.3802816902
Solomon Islands,2508113.201126761,2352886.6232394367,155226.57774647887
Bahamas,2406807.4020547946,34438.08759726027,2372369.306986301
Palestine,2008087.1724242424,-24643.176509090903,2032730.3345454545
Fiji,1880419.7473972603,1183704.390821918,696715.3561643836
Montenegro,1880188.2251574802,1019417.4257795275,860770.7952283465
Mauritius,1743154.5322054795,44355.481820547946,1698799.052328767
Georgia,1569510.0068862275,-2517873.356275449,4087383.3594910176
Vanuatu,1496119.565737705,1410337.8460655739,85781.72131147541
Malta,1404112.7795890411,-66020.76279452055,1470133.546849315
Gambia,1052012.9858383562,831826.8753972603,220186.1091780822
Barbados,831724.8035714285,-2555.2040576190475,834280.0136904763
Mauritania,815937.038049133,316624.8765780347,499312.16283236997
Maldives,544314.4453846153,152.19692307692307,544162.2494230769
Antigua and Barbuda,364607.22678636364,-20845.939203030302,385453.1665151515
Djibouti,347949.5501506849,74621.12431506849,273328.42424657533
Cape Verde,264628.70387671236,52742.52741643836,211886.17767123287
Seychelles,248764.51666666666,0.0,248764.51666666666
Comoros,225179.27825,127398.997171875,97780.28125
Saint Lucia,211413.78478082194,1282.4000136986285,210131.38410958904
Palau,161720.3232352941,0.0,161720.3232352941
Micronesia (country),147860.93548387097,0.0,147860.93548387097
Liechtenstein,143198.437265625,-8708.29745890625,151906.73421875
Saint Vincent and the Grenadines,138863.64528767124,36536.60418630137,102327.04095890411
Sao Tome and Principe,138099.35298611113,86199.67142361111,51899.68069444444
Samoa,130564.94725342465,30484.482054794527,100080.46602739725
Marshall Islands,119730.87129032257,0.0,119730.87129032257
Tonga,99857.97669863013,34269.4424,65588.53438356164
Andorra,96146.26837034682,5442.204876127168,90704.06341040463
Nauru,84026.84745762713,0.0,84026.84745762713
Saint Kitts and Nevis,76164.66192857143,-86183.38611904762,162348.0473809524
Grenada,74494.17205342466,-47769.525476712326,122263.69780821918
Dominica,49842.285094583334,-21516.83991527778,71359.125
Cook Islands,47384.555555555555,0.0,47384.555555555555
Kiribati,34651.58064516129,0.0,34651.58064516129
Niue,5610.094339622641,0.0,5610.094339622641
Tuvalu,1741.4682080924856,0.0,1741.4682080924856
