Entity,Code,Year,Annual CO₂ emissions (per capita),Population,Continent,Total CO2,Numeric Code
Afghanistan,AFG,2021,0.30631703,40000411,Asia,12252807.09629933,004
Albania,ALB,2021,1.7177409,2849643,Europe,4894948.331498699,008
Algeria,DZA,2021,4.079527,44761101,Africa,182604120.079227,012
Andorra,AND,2021,4.5922055,78375,Europe,359914.10606250004,020
Angola,AGO,2021,0.50735646,34532427,Africa,17520249.91792842,024
Anguilla,AIA,2021,8.726662,14503,North America,126562.77898599999,660
Antigua and Barbuda,ATG,2021,6.400294,92358,North America,591118.353252,028
Argentina,ARG,2021,4.1907597,45312283,South America,189892889.5113951,032
Armenia,ARM,2021,2.53107,2870339,Asia,7265028.9327300005,051
Aruba,ABW,2021,8.052776,107565,North America,866196.85044,533
Australia,AUS,2021,14.914762,25956416,Oceania,387133767.01299196,036
Austria,AUT,2021,7.3994617,8967053,Europe,66351365.2353701,040
Azerbaijan,AZE,2021,3.7170222,10234373,Asia,38041391.6440806,031
Bahamas,BHS,2021,5.149713,396381,North America,2041248.3886530001,044
Bahrain,BHR,2021,26.052996,1501762,Asia,39125399.378952004,048
Bangladesh,BGD,2021,0.5831512,167658855,Asia,97770462.48387599,050
Barbados,BRB,2021,4.361222,282156,North America,1230544.9546319998,052
Belarus,BLR,2021,6.362195,9251367,Europe,58859000.870565,112
Belgium,BEL,2021,8.23914,11570842,Europe,95333787.15588,056
Belize,BLZ,2021,1.7549852,395356,North America,693843.9287311999,084
Benin,BEN,2021,0.6395752,13413423,Africa,8578892.697909601,204
Bermuda,BMU,2021,6.873079,64672,North America,444495.765088,060
Bhutan,BTN,2021,1.3661479,775451,Asia,1059380.7552029002,064
Bolivia,BOL,2021,1.7985878,11937369,South America,21470406.2474982,068
Bonaire Sint Eustatius and Saba,BES,2021,4.0947623,27346,North America,111975.3698558,535
Bosnia and Herzegovina,BIH,2021,6.0954695,3244909,Europe,19779243.8397755,070
Botswana,BWA,2021,2.3707244,2401449,Africa,5693173.7396556,072
Brazil,BRA,2021,2.3198576,209550291,South America,486126835.15856165,076
British Virgin Islands,VGB,2021,4.9880238,37833,North America,188711.9044254,092
Brunei,BRN,2021,25.375603,451723,Asia,11462743.513969,096
Bulgaria,BGR,2021,6.140389,6877222,Europe,42228818.319358,100
Burkina Faso,BFA,2021,0.2659974,21995249,Africa,5850679.0463526,854
Burundi,BDI,2021,0.06373885,12965487,Africa,826405.23106995,108
Cambodia,KHM,2021,1.2134761,16974308,Asia,20597917.0720388,116
Cameroon,CMR,2021,0.37861246,26915764,Africa,10190643.62081944,120
Canada,CAN,2021,14.078721,38454058,North America,541383953.899818,124
Cape Verde,CPV,2021,0.9505422,516655,Africa,491102.380341,132
Central African Republic,CAF,2021,0.04567115,5112102,Africa,233475.5772573,140
Chad,TCD,2021,0.14357351,17828274,Africa,2559667.8754217396,148
Chile,CHL,2021,4.5675793,19456323,South America,88868298.18891391,152
China,CHN,2021,7.9502664,1426437276,Asia,11340556347.090326,156
Colombia,COL,2021,1.8589207,51188174,South America,95154756.2438018,170
Comoros,COM,2021,0.5052505,818178,Africa,413384.84358900005,174
Congo,COG,2021,1.2433366,5892186,Africa,7325970.507807599,178
Cook Islands,COK,2021,4.0415196,15204,Oceania,61447.2639984,184
Costa Rica,CRI,2021,1.4853407,5059992,North America,7515812.059274401,188
