Entity,Code,Year,Annual CO₂ emissions (per capita),Population,Continent,Total CO2,Numeric Code
Cote d'Ivoire,CIV,2021,0.42686108,29639735,Africa,12652049.2930138,384
Croatia,HRV,2021,4.288185,3924607,Europe,16829440.868295003,191
Cuba,CUB,2021,1.8603169,11122169,North America,20690758.9553561,192
Curacao,CUW,2021,9.144556,185324,North America,1694705.696144,531
Cyprus,CYP,2021,5.6497326,1317312,Asia,7442460.5507712,196
Czechia,CZE,2021,9.196797,10530683,Europe,96848553.822351,203
Democratic Republic of Congo,COD,2021,0.041094083,99148931,Africa,4074434.3998752735,180
Denmark,DNK,2021,5.057577,5856773,Europe,29621080.419021003,208
Djibouti,DJI,2021,0.41140705,1121251,Africa,461290.56621955,262
Dominica,DMA,2021,2.0959618,67223,North America,140896.8400814,212
Dominican Republic,DOM,2021,2.1393347,11123480,North America,23796846.748756,214
East Timor,TLS,2021,0.5024414,1350142,Asia,678367.2366788001,626
Ecuador,ECU,2021,2.2324002,17682454,South America,39474313.84609079,218
Egypt,EGY,2021,2.2595594,110957004,Africa,250713941.3840376,818
El Salvador,SLV,2021,1.1858464,6255781,North America,7418395.3780384,222
Equatorial Guinea,GNQ,2021,3.444009,1758796,Africa,6057309.253164,226
Eritrea,ERI,2021,0.1934708,3350184,Africa,648162.7786272,232
Estonia,EST,2021,7.8421664,1331750,Europe,10443805.1032,233
Eswatini,SWZ,2021,0.9489723,1206599,Africa,1145029.0282077,748
Ethiopia,ETH,2021,0.15729143,122138590,Africa,19211353.4792837,231
Faroe Islands,FRO,2021,13.923651,53324,Europe,742464.765924,234
Fiji,FJI,2021,1.1742574,916717,Oceania,1076461.7209557998,242
Finland,FIN,2021,6.8546104,5541068,Europe,37981862.3399072,246
France,FRA,2021,4.7538953,66083547,Europe,314154263.4906291,250
French Polynesia,PYF,2021,2.9048145,279807,Oceania,812787.4308015,258
Gabon,GAB,2021,2.5117075,2376728,Africa,5969645.54306,266
Gambia,GMB,2021,0.2867638,2576014,Africa,738707.5634932,270
Georgia,GEO,2021,2.942033,3788450,Asia,11145744.91885,268
Germany,DEU,2021,8.138241,83697082,Europe,681147024.312762,276
Ghana,GHA,2021,0.63856685,32518662,Africa,20765339.5595547,288
Greece,GRC,2021,5.510225,10579561,Europe,58295761.511225,300
Greenland,GRL,2021,10.072068,56065,North America,564690.49242,304
Grenada,GRD,2021,2.6466973,116695,North America,308856.3414235,308
Guatemala,GTM,2021,1.117814,17598654,North America,19672021.822356,320
Guinea,GIN,2021,0.35968435,13710516,Africa,4931458.0356246,324
Guinea-Bissau,GNB,2021,0.15579237,2058842,Africa,320751.87463554,624
Guyana,GUY,2021,4.4295645,815484,South America,3612238.9767179997,328
Haiti,HTI,2021,0.2118702,11374592,North America,2409937.0819584,332
Honduras,HND,2021,1.0541441,10289882,North America,10847018.3999962,340
Hong Kong,HKG,2021,4.3732305,7484604,Asia,32731898.493222002,344
Hungary,HUN,2021,5.0015383,9707848,Europe,48554173.5825784,348
Iceland,ISL,2021,9.477966,372649,Europe,3531954.551934,352
India,IND,2021,1.8998938,1414203889,Asia,2686837200.6469884,356
Indonesia,IDN,2021,2.2499223,276758056,Asia,622684121.8990488,360
Iran,IRN,2021,7.825858,88455491,Asia,692240111.886278,364
Iraq,IRQ,2021,3.8725574,43071210,Asia,166795733.012454,368
Ireland,IRL,2021,7.5297494,5028430,Europe,37862817.775442,372
Israel,ISR,2021,6.162786,8942925,Asia,55113332.98904999,376
Italy,ITA,2021,5.692572,59729354,Europe,340013648.15848804,380
Jamaica,JAM,2021,2.337014,2837682,North America,6631702.561548,388
Japan,JPN,2021,8.523455,125679341,Asia,1071222207.443155,392
Jordan,JOR,2021,2.0332546,11066358,Asia,22500723.308746796,400
Kazakhstan,KAZ,2021,13.29114,19743607,Asia,262415044.74198002,398
Kenya,KEN,2021,0.46141472,53219165,Africa,24556106.1171088,404
Kiribati,KIR,2021,0.53396493,128386,Oceania,68553.62150298001,296
Kosovo,OWID_KOS,2021,4.866548,1741449,Europe,8474845.148052,895
Kuwait,KWT,2021,24.301199,4360749,Asia,105971429.238051,414
Kyrgyzstan,KGZ,2021,1.4451864,6820483,Asia,9856869.273031201,417
Laos,LAO,2021,3.1470437,7453191,Asia,23455517.781446703,418
Latvia,LVA,2021,3.863811,1885592,Europe,7285571.111112,428
Lebanon,LBN,2021,4.1969266,5718127,Asia,23998559.308478203,422
Lesotho,LSO,2021,1.0872496,2261549,Africa,2458868.2456304003,426
Liberia,LBR,2021,0.16660595,5259326,Africa,876235.0045897,430
Libya,LBY,2021,9.491187,7135180,Africa,67721327.65866,434
Liechtenstein,LIE,2021,3.7350607,39062,Europe,145898.9410634,438
Lithuania,LTU,2021,4.962828,2794489,Europe,13868568.254892,440
Luxembourg,LUX,2021,13.18523,640276,Europe,8442186.32348,442
Macao,MAC,2021,1.5566095,694404,Asia,1080915.863238,446
Madagascar,MDG,2021,0.1475559,29691087,Africa,4381095.0642633,450
Malawi,MWI,2021,0.104497075,20047263,Africa,2094880.3452557249,454
Malaysia,MYS,2021,8.3059,34282405,Asia,284746227.6895,458
Maldives,MDV,2021,3.2992737,516162,Asia,1702959.7115394,462
Mali,MLI,2021,0.31628212,22388638,Africa,7081125.89055256,466
Malta,MLT,2021,3.050259,524383,Europe,1599503.965197,470
Marshall Islands,MHL,2021,3.6348102,41386,Oceania,150430.2549372,584
Mauritania,MRT,2021,0.96533614,4734875,Africa,4570745.9558825,478
Mauritius,MUS,2021,3.1494038,1279627,Africa,4030062.1363826,480
Mexico,MEX,2021,3.6998608,127648152,North America,472280393.77724165,484
Micronesia (country),FSM,2021,1.3516612,111636,Oceania,150894.04972319998,583
Moldova,MDA,2021,1.8281678,3023780,Europe,5527977.230284,498
Mongolia,MNG,2021,11.4274645,3339678,Asia,38164051.786431,496
Montenegro,MNE,2021,3.670829,603854,Europe,2216644.774966,499
Montserrat,MSR,2021,4.773321,4505,North America,21503.811105,500
Morocco,MAR,2021,1.9592135,36954442,Africa,72401641.651367,504
Mozambique,MOZ,2021,0.22415766,31707797,Africa,7107545.57927502,508
Myanmar,MMR,2021,0.6620929,53387102,Asia,35347221.1857758,104
Namibia,NAM,2021,1.4751465,2810553,Africa,4145977.4210145,516
Nauru,NRU,2021,4.270805,11726,Oceania,50079.45943,520
Nepal,NPL,2021,0.52033556,29475018,Asia,15336899.997040082,524
Netherlands,NLD,2021,7.993908,17730564,Europe,141736497.404112,528
New Caledonia,NCL,2021,15.763163,285226,Oceania,4496063.929838,540
New Zealand,NZL,2021,6.6900215,5107696,Oceania,34170596.055464,554
Nicaragua,NIC,2021,0.7859384,6644745,North America,5222360.253708,558
Niger,NER,2021,0.120342515,24502144,Africa,2948649.6318521597,562
Nigeria,NGA,2021,0.6143976,218529285,Africa,134263868.233716,566
Niue,NIU,2021,3.9075115,1836,Oceania,7174.191114,570
North Korea,PRK,2021,1.9766082,26232531,Asia,51851435.8813542,408
North Macedonia,MKD,2021,3.6555693,1851109,Europe,6766857.231353699,807
Norway,NOR,2021,7.5935297,5408081,Europe,41066423.693505704,578
Oman,OMN,2021,15.677213,4500427,Asia,70554152.669951,512
Pakistan,PAK,2021,0.96563566,239477805,Asia,231248308.2865263,586
Palau,PLW,2021,12.285263,17809,Oceania,218788.248767,585
Palestine,PSE,2021,0.66772425,5185341,Asia,3462377.9302192503,275
Panama,PAN,2021,2.6906164,4345410,North America,11691831.410724001,591
Papua New Guinea,PNG,2021,0.7986589,10012899,Oceania,7996890.901151099,598
Paraguay,PRY,2021,1.3819655,6684184,South America,9237311.683652,600
Peru,PER,2021,1.6749027,33155883,South America,55532877.957584105,604
Philippines,PHL,2021,1.253542,113100946,Asia,141776786.050732,608
Poland,POL,2021,8.64257,38040304,Europe,328765990.14128,616
Portugal,PRT,2021,3.8812351,10390956,Europe,40329743.1497556,620
Qatar,QAT,2021,39.884155,2814989,Asia,112273457.599295,634
Romania,ROU,2021,3.9936028,19248159,Europe,76869501.6772452,642
Russia,RUS,2021,11.79849,145836172,Asia,1720646616.98028,643
Rwanda,RWA,2021,0.11539575,13355260,Africa,1541140.2441450001,646
Saint Helena,SHN,2021,3.252395,5415,Africa,17611.718925,654
Saint Kitts and Nevis,KNA,2021,4.669984,46786,North America,218489.871424,659
Saint Lucia,LCA,2021,2.5940566,178540,North America,463142.865364,662
Saint Pierre and Miquelon,SPM,2021,10.164606,5802,North America,58975.044012,666
Saint Vincent and the Grenadines,VCT,2021,2.2671938,102848,North America,233176.34794239997,670
Samoa,WSM,2021,1.153368,213792,Oceania,246580.85145599997,882
Sao Tome and Principe,STP,2021,0.6530446,221975,Africa,144959.575085,678
Saudi Arabia,SAU,2021,17.564127,31328374,Asia,550255539.639498,682
Senegal,SEN,2021,0.6837955,17220866,Africa,11775550.676903,686
Serbia,SRB,2021,6.0171556,6835434,Europe,41129869.9715304,688
Seychelles,SYC,2021,6.2225175,123000,Africa,765369.6525000001,690
Sierra Leone,SLE,2021,0.13179387,8094603,Africa,1066819.0554836101,694
Singapore,SGP,2021,9.397426,5546292,Asia,52120868.644392,702
Sint Maarten (Dutch part),SXM,2021,14.263612,41590,North America,593223.62308,534
Slovakia,SVK,2021,6.4554424,5442767,Europe,35135468.8651208,703
Slovenia,SVN,2021,6.162082,2113495,Europe,13023529.49659,705
Solomon Islands,SLB,2021,0.42669472,762594,Oceania,325394.83330368,090
Somalia,SOM,2021,0.03812561,17271435,Africa,658483.9949503499,706
South Africa,ZAF,2021,7.1663837,61502601,Africa,440751237.3140037,710
South Korea,KOR,2021,11.886425,51848401,Asia,616292129.8564249,410
South Sudan,SSD,2021,0.17157483,10865786,Africa,1864295.3857663802,728
Spain,ESP,2021,4.849112,47735670,Europe,231475610.22504,724
Sri Lanka,LKA,2021,0.92399746,22700377,Asia,20975090.689042423,144
Sudan,SDN,2021,0.48590592,48066927,Africa,23356004.38550784,729
Suriname,SUR,2021,6.0075874,617905,South America,3712118.2923970004,740
Sweden,SWE,2021,3.6805615,10416136,Europe,38337229.140364,752
Switzerland,CHE,2021,4.117553,8707018,Europe,35851608.086954,756
Syria,SYR,2021,1.2763344,21628840,Asia,27605632.524096,760
Taiwan,TWN,2021,12.204635,23558330,Asia,287520818.85955,158
Tajikistan,TJK,2021,1.0236204,9966912,Asia,10202334.4482048,762
Tanzania,TZA,2021,0.24245292,62830413,Africa,15233417.09665596,834
Thailand,THA,2021,3.7320516,71727340,Asia,267690134.010744,764
Togo,TGO,2021,0.29565188,8878384,Africa,2624910.9209619197,768
Tonga,TON,2021,1.8028463,105504,Oceania,190207.4960352,776
Trinidad and Tobago,TTO,2021,23.289734,1487715,North America,34648486.617809996,780
Tunisia,TUN,2021,2.8740463,12048625,Africa,34628306.1013375,788
Turkey,TUR,2021,5.340025,86686255,Asia,462906768.856375,792
Turkmenistan,TKM,2021,11.033806,7092041,Asia,78252204.538046,795
Turks and Caicos Islands,TCA,2021,7.665116,45260,North America,346923.15016,796
Tuvalu,TUV,2021,1.0214623,10214,Oceania,10433.2159322,798
Uganda,UGA,2021,0.13200122,45910932,Africa,6060299.03533704,800
Ukraine,UKR,2021,4.8276234,44298641,Europe,213857155.8797994,804
United Arab Emirates,ARE,2021,25.333178,9789054,Asia,247987847.433612,784
United Kingdom,GBR,2021,5.164383,67668789,Europe,349467543.542187,826
United States,USA,2021,14.9324875,340161441,North America,5079456465.714488,840
Uruguay,URY,2021,2.364734,3396692,South America,8032273.059928,858
Uzbekistan,UZB,2021,3.4149938,34243696,Asia,116942009.5290848,860
Vanuatu,VUT,2021,0.6588834,305883,Oceania,201541.2310422,548
Venezuela,VEN,2021,2.5394876,28237831,South America,71709621.67539561,862
Vietnam,VNM,2021,3.6171148,98935101,Asia,357859618.0665948,704
Wallis and Futuna,WLF,2021,2.2964647,11590,Oceania,26616.025873,876
Yemen,YEM,2021,0.3513444,37140233,Asia,13049012.8792452,887
Zambia,ZMB,2021,0.44487745,19603610,Africa,8721204.0275945,894
Zimbabwe,ZWE,2021,0.5249723,15797220,Africa,8293102.917005999,716
