Entity,Annual CO₂ emissions (per capita),Population,Continent,Total CO2,Rank
Germany,8.508805,83559185,Europe,710988811.1239251,1st
China,7.5401316,1423520354,Asia,10733530804.438585,1st
South Africa,8.012615,59587880,Africa,477454741.10620004,1st
United States,15.739861,337790068,North America,5316768717.500547,1st
Brazil,2.2356122,207455459,South America,463789955.09699976,1st
Australia,16.398174,25482714,Oceania,417869978.164236,1st
United Kingdom,5.4621234,67110958,Europe,366568334.0882172,2nd
India,1.8891369,1389030303,Asia,2624068400.615481,2nd
Egypt,2.4251409,107553159,Africa,260831564.8151031,2nd
Canada,15.41972,37782931,North America,582602216.79932,2nd
Argentina,3.9894862,44973468,South America,179421029.9521416,2nd
New Zealand,7.4367194,4989412,Oceania,37104857.0149928,2nd
Italy,5.699218,60130136,Europe,342694753.433648,3rd
Russia,11.698944,146533063,Asia,1714282098.1854718,3rd
Algeria,4.18161,43294550,Africa,181040923.2255,3rd
Mexico,3.744022,125762977,North America,470859352.67349404,3rd
Colombia,1.8829013,49907987,South America,93971813.60268311,3rd
Papua New Guinea,0.8191921,9609014,Oceania,7871628.357589399,3rd
France,4.898306,65729460,Europe,321963008.29476,4th
Japan,8.780706,126699422,Asia,1112510374.951932,4th
Nigeria,0.6263395,209485636,Africa,131209128.509422,4th
Trinidad and Tobago,26.83153,1484898,North America,39842085.23394,4th
Chile,4.8308606,19197747,South America,92741639.59106821,4th
New Caledonia,19.87871,283617,Oceania,5637940.094070001,4th
Poland,8.252866,38225884,Europe,315473098.38354397,5th
Iran,8.02487,87051647,Asia,698578150.46089,5th
Libya,10.736264,6951038,Africa,74628179.042032,5th
Dominican Republic,2.607516,10894043,North America,28406391.427187998,5th
Venezuela,3.024043,28938095,South America,87510043.618085,5th
Fiji,1.5330331,914904,Oceania,1402578.1153224,5th
Europe Others,5.837305810691166,287857145,Europe,1680310185.1574695,Others
Asia Others,3.4897374314384244,1626083655,Asia,5674604997.503705,Others
Africa Others,0.39389137536898666,919462728,Africa,362168438.5324405,Others
North America Others,1.4427402067566881,76372653,North America,110185897.1797768,Others
South America Others,1.925509080972877,72786416,South America,140150904.9794695,Others
Oceania Others,1.2579053138905825,1962629,Oceania,2468801.44829576,Others
Europe Sum,6.20298538128811,602612768,Europe,3737998190.4815636,Total
Asia Sum,4.700553903840435,4798918444,Asia,22557574826.156063,Total
Africa Sum,1.104727267116463,1346334991,Africa,1487332975.2306976,Total
North America Sum,11.097784453948533,590087570,North America,6548664660.814266,Total
South America Sum,2.4986709250578207,423259172,South America,1057585386.8404472,Total
Oceania Sum,10.92346828057687,43242290,Oceania,472355783.19450635,Total
