Entity,Code,Year,Annual CO₂ emissions (per capita),Population,Continent,Total CO2,Numeric Code
India,IND,2019,1.8891369,1389030303,Asia,2624068400.615481,356
Indonesia,IDN,2019,2.4144928,272489379,Asia,657923643.6719712,360
Iran,IRN,2019,8.02487,87051647,Asia,698578150.46089,364
Iraq,IRQ,2019,4.5618486,41192172,Asia,187912452.1691592,368
Ireland,IRL,2019,7.623691,4933491,Europe,37611410.935281,372
Israel,ISR,2019,6.8145585,8657466,Asia,58996808.518761,376
Italy,ITA,2019,5.699218,60130136,Europe,342694753.433648,380
Jamaica,JAM,2019,2.7803972,2823275,North America,7849825.904829999,388
Japan,JPN,2019,8.780706,126699422,Asia,1112510374.951932,392
Jordan,JOR,2019,2.31137,10671892,Asia,24666691.01204,400
Kazakhstan,KAZ,2019,14.678785,19209556,Asia,281972942.46946,398
Kenya,KEN,2019,0.38858923,51202829,Africa,19896867.89493167,404
Kiribati,KIR,2019,0.53079224,123928,Oceania,65780.02071872,296
Kosovo,OWID_KOS,2019,4.973549,1755048,Europe,8728817.225352,895
Kuwait,KWT,2019,24.519451,4442202,Asia,108920354.271102,414
Kyrgyzstan,KGZ,2019,1.4305534,6494036,Asia,9290065.2795224,417
Laos,LAO,2019,2.7085655,7237634,Asia,19603605.754027,418
Latvia,LVA,2019,3.9918807,1914267,Europe,7641525.491946899,428
Lebanon,LBN,2019,4.4382133,5794600,Asia,25717670.78818,422
Lesotho,LSO,2019,1.073333,2209414,Africa,2371436.9568620003,426
Liberia,LBR,2019,0.2045213,5043720,Africa,1031548.1712359999,430
Libya,LBY,2019,10.736264,6951038,Africa,74628179.042032,434
Liechtenstein,LIE,2019,3.8707013,38462,Europe,148874.9134006,438
Lithuania,LTU,2019,4.800764,2795057,Europe,13418409.023548,440
Luxembourg,LUX,2019,15.757939,620166,Europe,9772537.997874001,442
Macao,MAC,2019,1.8274176,670983,Asia,1226166.1435008,446
Madagascar,MDG,2019,0.15459047,28219558,Africa,4362474.73441226,450
Malawi,MWI,2019,0.08673756,19025748,Africa,1650246.9586948801,454
Malaysia,MYS,2019,8.154313,33440588,Asia,272685021.456044,458
Maldives,MDV,2019,3.870847,487737,Asia,1887955.303239,462
Mali,MLI,2019,0.28358406,21068406,Africa,5974664.111208361,466
Malta,MLT,2019,3.2736566,504017,Europe,1649978.5785621998,470
Marshall Islands,MHL,2019,3.2750838,44029,Oceania,144198.6646302,584
Mauritania,MRT,2019,0.8608683,4467714,Africa,3846113.3560662,478
Mauritius,MUS,2019,3.4879518,1286269,Africa,4486444.2738342,480
Mexico,MEX,2019,3.744022,125762977,North America,470859352.67349404,484
Micronesia (country),FSM,2019,1.3157139,110294,Oceania,145115.3488866,583
Moldova,MDA,2019,1.7671684,3112563,Europe,5500422.9766092,498
Mongolia,MNG,2019,14.618863,3232119,Asia,47249904.860697,496
Montenegro,MNE,2019,3.9290168,611673,Europe,2403273.4931064,499
Montserrat,MSR,2019,4.8551235,4564,North America,22158.783654000003,500
Morocco,MAR,2019,1.8935199,36210907,Africa,68566073.0015493,504
Mozambique,MOZ,2019,0.23447111,29884376,Africa,7007022.812377361,508
Myanmar,MMR,2019,0.6338007,52640718,Asia,33363723.916902598,104
Namibia,NAM,2019,1.6802846,2650500,Africa,4453594.3323,516
Nauru,NRU,2019,4.521224,11609,Oceania,52486.889416,520
Nepal,NPL,2019,0.47081903,28414066,Asia,13377882.99247598,524
Netherlands,NLD,2019,8.783454,17537506,Europe,154039877.225724,528
New Caledonia,NCL,2019,19.87871,283617,Oceania,5637940.094070001,540
New Zealand,NZL,2019,7.4367194,4989412,Oceania,37104857.0149928,554
Nicaragua,NIC,2019,0.78370583,6483660,North America,5081282.1417378,558
Niger,NER,2019,0.10720992,22947765,Africa,2460228.0498288,562
Nigeria,NGA,2019,0.6263395,209485636,Africa,131209128.509422,566
Niue,NIU,2019,3.7714875,1814,Oceania,6841.478325,570
North Korea,PRK,2019,2.048663,26037633,Asia,53342335.334679,408
North Macedonia,MKD,2019,3.616904,1897643,Europe,6863592.557272,807
Norway,NOR,2019,8.001257,5347735,Europe,42788602.10289501,578
Oman,OMN,2019,12.866547,4591247,Asia,59073495.314109005,512
Pakistan,PAK,2019,0.9228277,230800909,Asia,212989472.0103793,586
Palau,PLW,2019,12.254864,17820,Oceania,218381.67648,585
Palestine,PSE,2019,0.6650818,4957774,Asia,3297325.2559132,275
Panama,PAN,2019,3.1614068,4234699,North America,13387606.2145532,591
Papua New Guinea,PNG,2019,0.8191921,9609014,Oceania,7871628.357589399,598
Paraguay,PRY,2019,1.2460468,6515060,South America,8118069.664808,600
Peru,PER,2019,1.7780743,32449301,South America,57697268.161064304,604
Philippines,PHL,2019,1.3060241,110804685,Asia,144713589.0029085,608
Poland,POL,2019,8.252866,38225884,Europe,315473098.38354397,616
Portugal,PRT,2019,4.6155887,10343218,Europe,47740040.1224366,620
Qatar,QAT,2019,35.985134,2797927,Asia,100683778.01721801,634
Romania,ROU,2019,3.9379425,19501543,Europe,76795954.99527751,642
Russia,RUS,2019,11.698944,146533063,Asia,1714282098.1854718,643
Rwanda,RWA,2019,0.10695215,12776104,Africa,1366431.7914236,646
Saint Helena,SHN,2019,2.6793418,5485,Africa,14696.189773,654
Saint Kitts and Nevis,KNA,2019,5.2957954,46974,North America,248764.6931196,659
Saint Lucia,LCA,2019,2.8106656,177674,North America,499382.1998144,662
Saint Pierre and Miquelon,SPM,2019,11.080646,5899,North America,65364.730754,666
Saint Vincent and the Grenadines,VCT,2019,2.1647418,104182,North America,225527.13020759998,670
Samoa,WSM,2019,1.2794564,209793,Oceania,268420.99652519997,882
Sao Tome and Principe,STP,2019,0.6658341,213404,Africa,142091.66027639998,678
Saudi Arabia,SAU,2019,19.737017,30472810,Asia,601442369.0077701,682
Senegal,SEN,2019,0.7945249,16352926,Africa,12992806.8948574,686
Serbia,SRB,2019,5.982725,6966154,Europe,41676583.68965,688
Seychelles,SYC,2019,5.68628,117662,Africa,669059.07736,690
Sierra Leone,SLE,2019,0.124761686,7731995,Africa,964656.73234357,694
Singapore,SGP,2019,5.7579384,5669562,Asia,32644988.7509808,702
Sint Maarten (Dutch part),SXM,2019,16.018604,40410,North America,647311.78764,534
Slovakia,SVK,2019,6.1934304,5450626,Europe,33758072.767430395,703
Slovenia,SVN,2019,6.6446157,2083436,Europe,13843631.5555452,705
Solomon Islands,SLB,2019,0.43425184,728156,Oceania,316203.08280704,090
Somalia,SOM,2019,0.039892595,16030969,Africa,639516.953774555,706
South Africa,ZAF,2019,8.012615,59587880,Africa,477454741.10620004,710
South Korea,KOR,2019,12.472093,51767843,Asia,645653352.305399,410
South Sudan,SSD,2019,0.17044018,10423382,Africa,1776563.1042887599,728
Spain,ESP,2019,5.318343,47435120,Europe,252276238.40615997,724
Sri Lanka,LKA,2019,0.98071545,22410552,Asia,21978374.589428402,144
Sudan,SDN,2019,0.50361913,45548178,Africa,22938933.77744514,729
Suriname,SUR,2019,4.390763,605780,South America,2659836.41014,740
Sweden,SWE,2019,3.9936066,10279122,Europe,41050769.4614052,752
Switzerland,CHE,2019,4.2827263,8577526,Europe,36735196.1891338,756
Syria,SYR,2019,1.4268457,20353536,Asia,29041355.321395203,760
Taiwan,TWN,2019,11.521448,23674137,Asia,272760338.390376,158
Tajikistan,TJK,2019,0.94856703,9529971,Asia,9039816.28745613,762
Tanzania,TZA,2019,0.22954242,59174889,Africa,13583147.22429138,834
Thailand,THA,2019,3.95287,71522265,Asia,282718215.65055,764
Togo,TGO,2019,0.29297218,8463068,Africa,2479443.48144824,768
Tonga,TON,2019,1.5359025,105688,Oceania,162326.46342,776
Trinidad and Tobago,TTO,2019,26.83153,1484898,North America,39842085.23394,780
Tunisia,TUN,2019,2.519102,11875085,Africa,29914550.37367,788
