Entity,Annual CO₂ emissions (per capita),Population,Continent,Total CO2
El Salvador,1.2174718,6280316,North America,7646107.6250888
Equatorial Guinea,3.0307202,1803550,Africa,5466055.4167100005
Eritrea,0.18914719,3409452,Africa,644888.26523988
Estonia,7.77628,1350092,Europe,10498693.41776
Eswatini,1.0527312,1218921,Africa,1283196.1670352
Ethiopia,0.15458965,125384285,Africa,19383112.73365025
Faroe Islands,14.084624,54039,Europe,761118.996336
Fiji,1.1550449,919428,Oceania,1061980.6223172
Finland,6.5267396,5569299,Europe,36349364.3275404
France,4.603891,66277412,Europe,305133980.610092
French Polynesia,2.8509297,280389,Oceania,799369.3276533
Gabon,2.3882635,2430752,Africa,5805276.279151999
Gambia,0.2847278,2636473,Africa,750677.1570493999
Georgia,2.962545,3794783,Asia,11242215.402735
Germany,7.9837584,84086228,Europe,671324129.1193153
Ghana,0.6215505,33149151,Africa,20603871.3786255
Greece,5.7451057,10412481,Europe,59820803.944241695
Greenland,10.473997,56014,North America,586690.467958
Grenada,2.7133646,116928,North America,317268.2959488
Guatemala,1.0756185,17847877,North America,19197506.686924502
Guinea,0.35742033,14055137,Africa,5023591.70473521
Guinea-Bissau,0.15518051,2105537,Africa,326738.30548387
Guyana,4.3736935,821636,South America,3593584.032566
Haiti,0.21119381,11503604,North America,2429489.95749124
Honduras,1.0696708,10463881,North America,11192907.960374799
Hong Kong,4.081913,7465914,Asia,30475211.413482
Hungary,4.449911,9684306,Europe,43094299.796766
Iceland,9.499798,380368,Europe,3613419.165664
India,1.9966822,1425423212,Asia,2846117154.867226
Indonesia,2.6456614,278830529,Asia,737691167.7168806
Iran,7.7993317,89524247,Asia,698229297.5457299
Iraq,4.024638,44070556,Asia,177368034.35872802
Ireland,7.7211185,5110013,Europe,39455015.909540504
Israel,6.208912,9103144,Asia,56520620.019328
Italy,5.726825,59619106,Europe,341428186.71845
Jamaica,2.2945588,2839151,North America,6514598.9115788
Japan,8.501681,124997586,Asia,1062689601.942066
Jordan,2.0301995,11256268,Asia,22852469.665466003
Kazakhstan,13.979704,20034612,Asia,280077945.514848
Kenya,0.45998666,54252456,Africa,24955406.03223696
Kiribati,0.5184742,130481,Oceania,67651.0320902
Kosovo,4.830646,1717950,Europe,8298808.2957
Kuwait,25.578102,4589514,Asia,117391057.22242801
Kyrgyzstan,1.4251612,6955792,Asia,9913124.8736704
Laos,3.0803475,7559007,Asia,23284368.3149325
Latvia,3.561689,1881058,Europe,6699743.586962
Lebanon,4.3543963,5744494,Asia,25013803.4189722
Lesotho,1.3594668,2286112,Africa,3107893.3650816004
Liberia,0.1653753,5373296,Africa,888610.4379888
Libya,9.242238,7223804,Africa,66764115.833352
Liechtenstein,3.8097827,39336,Europe,149861.6122872
Lithuania,4.606163,2816922,Europe,12975201.890285999
Luxembourg,11.618432,653316,Europe,7590507.520512001
Macao,1.5127679,704359,Asia,1065531.6852761
Madagascar,0.14871116,30437263,Africa,4526360.6879550805
Malawi,0.10262384,20568731,Africa,2110842.15914704
Malaysia,8.576508,34695494,Asia,297566181.85495204
Maldives,3.2475724,524116,Asia,1702104.6559984002
Mali,0.31153768,23072639,Africa,7187996.425537519
Malta,3.1035979,528194,Europe,1639301.7891926
Marshall Islands,3.6353714,40094,Oceania,145756.5809116
Mauritania,0.957337,4875645,Africa,4667635.357365
Mauritius,3.2697906,1276134,Africa,4172690.9575404
Mexico,4.0153365,128613113,North America,516424927.0075245
Micronesia (country),1.3243006,112124,Oceania,148485.88047439998
Moldova,1.6565942,3039987,Europe,5036024.8322754
Mongolia,11.150772,3386015,Asia,37756681.25358
Montenegro,3.6558185,614650,Europe,2247048.841025
Montserrat,4.8447766,4476,North America,21685.2200616
Morocco,1.8263615,37329069,Africa,68176374.4524435
Mozambique,0.24274588,32656240,Africa,7927167.7162912
Myanmar,0.6445672,53756790,Asia,34649863.611288
Namibia,1.5399038,2889668,Africa,4449810.7339384
Nauru,4.1700416,11821,Oceania,49294.061753600006
Nepal,0.5074035,29715434,Asia,15077715.215619
Netherlands,7.1372175,17904422,Europe,127787754.025785
New Caledonia,17.641167,287131,Oceania,5065325.921877
New Zealand,6.212154,5131733,Oceania,31879115.682882
Nicaragua,0.79879653,6730661,North America,5376428.65140633
Niger,0.116688,25311977,Africa,2953603.972176
Nigeria,0.5891771,223150906,Africa,131475403.6594526
Niue,3.8729508,1844,Oceania,7141.7212752
North Korea,1.9513915,26328842,Asia,51377878.483642995
North Macedonia,3.6245701,1840236,Europe,6670064.3825436
Norway,7.5093055,5456795,Europe,40976740.7058725
Oman,15.730261,4730227,Asia,74407705.299247
Pakistan,0.84893465,243700667,Asia,206885940.44441155
Palau,12.123921,17784,Oceania,215611.81106399998
Palestine,0.6660658,5305274,Asia,3533661.5710292
Panama,2.699258,4400772,North America,11878819.027176
Papua New Guinea,0.77131313,10203176,Oceania,7869843.616500881
Paraguay,1.3299496,6760461,South America,8991072.4027656
Peru,1.7891879,33475435,South America,59893843.2492365
Philippines,1.3014648,113964342,Asia,148320579.5681616
Poland,8.106886,38385734,Europe,311188769.56432396
Portugal,4.050785,10417075,Europe,42197331.153875
Qatar,37.601273,2892465,Asia,108760366.107945
Romania,3.739777,19166776,Europe,71679468.048952
Russia,11.416899,145579890,Asia,1662070900.56111
Rwanda,0.112346195,13651026,Africa,1533640.82894607
Saint Helena,3.2986484,5369,Africa,17710.4432596
Saint Kitts and Nevis,4.708081,46731,North America,220013.333211
Saint Lucia,2.6149206,178794,North America,467532.1137564
Saint Pierre and Miquelon,10.293288,5760,North America,59289.33888
Saint Vincent and the Grenadines,2.2964725,102062,North America,234382.576295
Samoa,1.1218625,215269,Oceania,241502.2185125
Sao Tome and Principe,0.5816142,226313,Africa,131626.8544446
Saudi Arabia,18.197495,32175352,Asia,585510807.14324
Senegal,0.6738352,17651099,Africa,11893931.8248848
Serbia,6.024712,6791218,Europe,40915132.579216
Seychelles,6.1495123,125532,Africa,771960.5780436
Sierra Leone,0.13124847,8276808,Africa,1086318.38648376
Singapore,8.911513,5649886,Asia,50349032.537517995
Sint Maarten (Dutch part),14.352394,42163,North America,605139.988222
Slovakia,6.051555,5473194,Europe,33121334.516669996
Slovenia,5.9979916,2115230,Europe,12687131.772068
Solomon Islands,0.41232163,781075,Oceania,322054.11715225
Somalia,0.03676208,17801893,Africa,654434.61461744
South Africa,6.7461643,62378419,Africa,420815063.3482417
South Korea,11.598764,51782514,Asia,600613159.212696
South Sudan,0.1680176,11021175,Africa,1851751.3726799998
Spain,5.1644425,47828386,Europe,247006949.36480498
Sri Lanka,0.7936504,22834964,Asia,18122978.3125856
Sudan,0.4696261,49383343,Africa,23191706.7780523
Suriname,5.8029985,623173,South America,3616271.9842405003
Sweden,3.6069093,10487333,Europe,37826858.9298969
Switzerland,4.0478554,8792180,Europe,35589473.290772006
Syria,1.2490375,22462170,Asia,28056092.661375
Taiwan,11.630868,23420107,Asia,272396173.062876
Tajikistan,1.0064901,10182229,Asia,10248312.6844329
Tanzania,0.23771806,64711821,Africa,15383168.547187261
Thailand,3.7762568,71735320,Asia,270890989.950176
Togo,0.2910665,9089742,Africa,2645719.389843
Tonga,1.7686282,105053,Oceania,185799.6982946
Trinidad and Tobago,22.423758,1495922,North America,33544192.914876
Tunisia,2.879285,12119336,Africa,34895022.35476
Turkey,5.1052055,87058470,Asia,444451379.865585
Turkmenistan,11.03418,7230198,Asia,79779306.16764
Turks and Caicos Islands,7.636793,45869,North America,350292.058117
Tuvalu,1.0004411,10012,Oceania,10016.4162932
Uganda,0.12744623,47312718,Africa,6029827.540153139
Ukraine,3.5578535,41048767,Europe,146045499.34163448
United Arab Emirates,25.833244,10242085,Asia,264586280.87374002
United Kingdom,4.7201805,68179315,Europe,321818673.16635746
United States,14.949616,341534041,North America,5105802763.878256
Uruguay,2.3060381,3390913,South America,7819574.571785299
Uzbekistan,3.4830604,34938955,Asia,121694490.57788199
Vanuatu,0.6363055,313062,Oceania,199203.072441
Venezuela,2.7168686,28213016,South America,76651057.2816976
Vietnam,3.4995174,99680656,Asia,348834190.1154144
Wallis and Futuna,2.2819076,11501,Oceania,26244.219307599997
Yemen,0.33701748,38222880,Asia,12881778.6959424
Zambia,0.44570068,20152934,Africa,8982176.38779512
Zimbabwe,0.542628,16069061,Africa,8719522.432308
