Entity,Annual CO₂ emissions (per capita),Population,Continent,Total CO2
Afghanistan,0.29536375,40578846,Asia,11985520.1252325
Albania,1.7432004,2827615,Europe,4929099.599046
Algeria,3.9272263,45477391,Africa,178600005.9905833
Andorra,4.6171236,79722,Europe,368086.3276392
Angola,0.45155162,35635028,Africa,16091054.62214536
Anguilla,8.752724,14202,North America,124306.18624800001
Antigua and Barbuda,6.4218745,92851,North America,596277.4691995
Argentina,4.2378173,45407904,South America,192430401.1279392
Armenia,2.3045583,2880883,Asia,6639162.8289789
Aruba,8.133404,107792,North America,876715.8839680001
Australia,14.985412,26200987,Oceania,392632585.001644
Austria,6.8781943,9064679,Europe,62348623.4291297
Azerbaijan,3.6746833,10295307,Asia,37831992.7012731
Bahamas,5.1708703,397544,North America,2055648.4625432
Bahrain,25.672274,1533459,Asia,39367379.615766004
Bangladesh,0.5964455,169384890,Asia,101028855.408495
Barbados,4.3772573,282324,North America,1235804.7899652
Belarus,6.1669006,9173241,Europe,56570465.4268446
Belgium,7.6875386,11641813,Europe,89496886.8114818
Belize,1.7894346,402741,North America,720678.6802386
Benin,0.631487,13759507,Africa,8688949.796909
Bermuda,6.9370627,64772,North America,449327.42520440003
Bhutan,1.3489918,780920,Asia,1053454.676456
Bolivia,1.7583066,12077155,South America,21235341.345723
Bonaire Sint Eustatius and Saba,4.083284,28654,North America,117002.419736
Bosnia and Herzegovina,6.1034565,3204805,Europe,19560387.9084825
Botswana,2.838951,2439895,Africa,6926742.350144999
Brazil,2.2454574,210306411,South America,472234086.84739137
British Virgin Islands,5.0039577,38344,North America,191871.7540488
Brunei,23.950201,455374,Asia,10906298.830174
Bulgaria,6.8044534,6825863,Europe,46446266.6982842
Burkina Faso,0.26295447,22509037,Africa,5918851.89454539
Burundi,0.06194545,13321101,Africa,825181.59594045
Cambodia,1.1900775,17201717,Asia,20471376.363067497
Cameroon,0.34292704,27632771,Africa,9476024.366027841
Canada,14.249212,38821260,North America,553172363.84712
Cape Verde,0.9588915,519750,Africa,498383.857125
Central African Republic,0.040548485,5098038,Africa,206717.71737243002
Chad,0.13367727,18455319,Africa,2467056.6608991297
Chile,4.3041654,19553032,South America,84159483.79949279
China,7.992761,1425179562,Asia,11391119621.150682
Colombia,1.9223082,51737944,South America,99456274.00234081
Comoros,0.49327007,834192,Africa,411481.94623344
Congo,1.2447897,6035107,Africa,7512439.0319979
Cook Islands,3.9950094,14747,Oceania,58914.4036218
Costa Rica,1.5226681,5081765,North America,7737841.4571965
Cote d'Ivoire,0.41668788,30395003,Africa,12665229.36266364
Croatia,4.348515,3907031,Europe,16989782.908965
Cuba,1.8659163,11059821,North America,20636700.2789823
Curacao,9.189007,185351,North America,1703191.636457
Cyprus,5.616782,1331376,Asia,7478048.752032
Czechia,9.3357525,10673216,Europe,99642502.95504
Democratic Republic of Congo,0.036375992,102396974,Africa,3724791.5070482083
Denmark,4.940161,5902898,Europe,29161266.486578
Djibouti,0.40418932,1137100,Africa,459603.67577200005
Dominica,2.1058853,66850,North America,140778.43230500002
Dominican Republic,2.1051137,11230734,North America,23641972.0044558
East Timor,0.49869007,1369299,Asia,682855.81416093
Ecuador,2.3117273,17823900,South America,41203996.22247
Egypt,2.333106,112618251,Africa,262750317.11760598
