Entity,Annual CO₂ emissions (per capita),Population,Continent,Total CO2,Rank
Germany,8.138241,83697082,Europe,681147024.312762,1st
China,7.9502664,1426437276,Asia,11340556347.090326,1st
South Africa,7.1663837,61502601,Africa,440751237.3140037,1st
United States,14.9324875,340161441,North America,5079456465.714488,1st
Brazil,2.3198576,209550291,South America,486126835.15856165,1st
Australia,14.914762,25956416,Oceania,387133767.01299196,1st
United Kingdom,5.164383,67668789,Europe,349467543.542187,2nd
India,1.8998938,1414203889,Asia,2686837200.6469884,2nd
Egypt,2.2595594,110957004,Africa,250713941.3840376,2nd
Canada,14.078721,38454058,North America,541383953.899818,2nd
Argentina,4.1907597,45312283,South America,189892889.5113951,2nd
New Zealand,6.6900215,5107696,Oceania,34170596.055464,2nd
Italy,5.692572,59729354,Europe,340013648.15848804,3rd
Russia,11.79849,145836172,Asia,1720646616.98028,3rd
Algeria,4.079527,44761101,Africa,182604120.079227,3rd
Mexico,3.6998608,127648152,North America,472280393.77724165,3rd
Colombia,1.8589207,51188174,South America,95154756.2438018,3rd
Papua New Guinea,0.7986589,10012899,Oceania,7996890.901151099,3rd
Poland,8.64257,38040304,Europe,328765990.14128,4th
Japan,8.523455,125679341,Asia,1071222207.443155,4th
Nigeria,0.6143976,218529285,Africa,134263868.233716,4th
Trinidad and Tobago,23.289734,1487715,North America,34648486.617809996,4th
Chile,4.5675793,19456323,South America,88868298.18891391,4th
New Caledonia,15.763163,285226,Oceania,4496063.929838,4th
France,4.7538953,66083547,Europe,314154263.4906291,5th
Iran,7.825858,88455491,Asia,692240111.886278,5th
Morocco,1.9592135,36954442,Africa,72401641.651367,5th
Dominican Republic,2.1393347,11123480,North America,23796846.748756,5th
Venezuela,2.5394876,28237831,South America,71709621.67539561,5th
Fiji,1.1742574,916717,Oceania,1076461.7209557998,5th
Europe Others,5.542048064115891,287197019,Europe,1591659683.1688046,Others
Asia Others,3.4081345012861513,1663540490,Asia,5669569738.255469,Others
Africa Others,0.410275638504395,939327697,Africa,385383270.6515379,Others
North America Others,1.324449185945618,77797715,North America,103039120.3001792,Others
South America Others,1.8989311499915393,74289971,South America,141071540.0638681,Others
Oceania Others,1.2496130718488803,2017367,Oceania,2520928.17391656,Others
Europe Sum,5.984581392723498,602416095,Europe,3605208152.814151,Total
Asia Sum,4.765695866763399,4864152659,Asia,23181072222.302498,Total
Africa Sum,1.0383036250838635,1412032130,Africa,1466118079.3138893,Total
North America Sum,10.482475105903676,596672561,North America,6254605267.058292,Total
South America Sum,2.5063937742332882,428034873,South America,1072823940.8419361,Total
Oceania Sum,9.874289736032873,44296321,Oceania,437394707.7943174,Total
